Reporting Railroad Code,Reporting Railroad Name,Year,Accident Number,PDF Link,Accident Year,Accident Month,Other Railroad Code,Other Railroad Name,Other Accident Number,Other Accident Year,Other Accident Month,Maintenance Railroad Code,Maintenance Railroad Name,Maintenance Accident Number,Maintenance Accident Year,Maintenance Accident Month,Grade Crossing ID,Day,Date,Time,Accident Type Code,Accident Type,Hazmat Cars,Hazmat Cars Damaged,Hazmat Released Cars,Persons Evacuated,Subdivision,Division Code,Division,Station,Milepost,State Code,State Abbreviation,State Name,County Code,County Name,District,Temperature,Visibility Code,Visibility,Weather Condition Code,Weather Condition,Track Type Code,Track Type,Track Name,Track Class,Track Density,Train Direction Code,Train Direction,Equipment Type Code,Equipment Type,Equipment Attended,Train Number,Train Speed,Recorded Estimated Speed,Maximum Speed,Gross Tonnage,Signalization Code,Signalization,Method of Operation Code,Method of Operation,Adjunct Code 1,Adjunct Name 1,Adjunct Code 2,Adjunct Name 2,Adjunct Code 3,Adjunct Name 3,Remote Control Locomotive Code,Remote Control Locomotive,First Car Initials,First Car Number,First Car Position,First Car Loaded,Causing Car Initials,Causing Car Number,Causing Car Position,Causing Car Loaded,Positive Alcohol Tests,Positive Drug Tests,Passengers Transported,Head End Locomotives,Mid Train Manual Locomotives,Mid Train Remote Locomotives,Rear End Manual Locomotives,Rear End Remote Locomotives,Derailed Head End Locomotives,Derailed Mid Train Manual Locomotives,Derailed Mid Train Remote Locomotives,Derailed Rear End Manual Locomotives,Derailed Rear End Remote Locomotives,Loaded Freight Cars,Loaded Passenger Cars,Empty Freight Cars,Empty Passenger Cars,Cabooses,Derailed Loaded Freight Cars,Derailed Loaded Passenger Cars,Derailed Empty Freight Cars,Derailed Empty Passenger Cars,Derailed Cabooses,Equipment Damage Cost,Track Damage Cost,Total Damage Cost,Primary Accident Cause Code,Primary Accident Cause,Contributing Accident Cause Code,Contributing Accident Cause,Accident Cause Code,Accident Cause,Engineers On Duty,Firemen On Duty,Conductors On Duty,Brakemen On Duty,Hours Engineers On Duty,Minutes Engineers On Duty,Hours Conductors On Duty,Minutes Conductors On Duty,Railroad Employees Killed,Railroad Employees Injured,Passengers Killed,Passengers Injured,Others Killed,Others Injured,Reporting Railroad Fatalities for 55a,Reporting Railroad Injuries for 55a,Total Persons Killed,Total Persons Injured,Total Killed Form 54,Total Injured Form 54,Special Study 1,Special Study 2,Latitude,Longitude,Narrative,Joint Track Type,Joint Track Class,Class Code,Class,Joint CD,Incident Key,Report Key,Reporting Railroad Company Grouping,Reporting Railroad Class,Reporting Railroad SMT Grouping,Reporting Parent Railroad Code,Reporting Parent Railroad Name,Reporting Railroad Holding Company,Other Railroad Company Grouping,Other Railroad Class,Other Railroad SMT Grouping,Other Parent Railroad Code,Other Parent Railroad Name,Other Railroad Holding Company,Maintenance Railroad Company Grouping,Maintenance Railroad Class,Maintenance Railroad SMT Grouping,Maintenance Parent Railroad Code,Maintenance Parent Railroad Name,Maintenance Railroad Holding Company,Location,Cause Description,Type,geometry,Accident_Date,Matched_Heat_EPISODE_IDs_NWS_Forecast_Zones,Matched_Heat_EPISODE_IDs_Climate_Divisions,Matched_Heat_EPISODE_IDs_County_Warning_Areas,Matched_Heat_EPISODE_IDs_States
AZER,Arizona Eastern Railroad,2024,AZE822024D,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=AZERAZE822024D20240607,24,6,,,,,,AZER,Arizona Eastern Railroad,AZE822024D,24,6,,7,06/07/2024,8:10 PM,1,Derailment,0,0,0,0,MAINLINE,,,BYLAS,1173.5,4,AZ,ARIZONA,9,GRAHAM,7,97,4,Dark,1,Clear,1,Main,SINGLE MAIN TRACK,2,129.17,3.0,East,1.0,Freight Train,Yes,107-,25,Estimated,25,1750,2,Not Signaled,,Direct Train Control,P,Track Warrant Control,,,,,0.0,Not a remotely controlled operation,AZER,4009.0,5,No,,,0,,,,No,5,0,0,0,0,1,0,0,0,0,1,0,48,0,0,1,0,8,0,0,116787,198398,315185,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,4.0,10.0,4.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,3156,3,33.169819,-110.161851,"07-07 WAS TRAVELING EASTBOUND AND NOTICED A SUN KINK IN THEIR HEADLIGHT IN FRONT OF THEM. CREW CAMEOUT OF POWER IN AN ATTEMPT TO SLOW DOWN BUT AT THAT POINT WENT INTO EMERGENCY, 1 LOCOMOTIVE AND 8 CARS DERAILED.  NRC #: 1401694",Main,2,Cl,Cl,1,AZERAZE822024D202406,AZERAZE822024D202406,Shortline,Class 3,SMT-2 - Short Line East,AZER,Arizona Eastern Railroad,Genesee & Wyoming,,,,,,,Shortline,Class 3,SMT-2 - Short Line East,AZER,Arizona Eastern Railroad,Genesee & Wyoming,POINT (-110.161851 33.169819),T109: Track alignment irregular (sun kink / heat),2,POINT (-110.161851 33.169819),2024-06-07,191580,"191580, 191580, 191580, 191580","191580, 191580, 191580, 191580, 191580, 191580","191580, 191904, 191904, 191904, 191904, 191906, 191580, 191580, 191580, 191580, 191580"
SERA,SIERRA NORTHERN RAILWAY,2022,SERA202206,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=SERASERA20220620220324,22,3,,,,,,SERA,SIERRA NORTHERN RAILWAY,SERA202206,22,3,,24,03/24/2022,4:30 PM,1,Derailment,2,0,0,0,OAKDALE,,,CHINESE CAMP,MP 19.,6,CA,CALIFORNIA,109,TUOLUMNE,7,87,2,Day,1,Clear,1,Main,MAIN,X,0.35,4.0,West,1.0,Freight Train,Yes,R-OK,5,Estimated,5,2114,2,Not Signaled,,Direct Train Control,P,Track Warrant Control,,,,,0.0,Not a remotely controlled operation,BNSF,561003.0,2,Yes,,,0,,,,No,2,0,0,0,0,0,0,0,0,0,7,0,2,0,0,5,0,0,0,0,0,10000,10000,T109,Track alignment irregular (buckled/sunkink),T199,Other track geometry defects (Provide detailed description in narrative),T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,10.0,30.0,10.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,OTH,000-000-000,37.741484,-120.542242,"THE CREW OF R-OKFS-24 WAS HEADED WEST BOUND AT MP 19.2 WHEN THEY OBSERVED A SUNKINK. THE TRAIN WAS SLOWED DOWN TO APPROXIMATELY 5 MPH WHEN THEY ROLLED OVER THE KINK. THE TRACK FURTHER SHIFTED UNDER THE TRAIN AND CAUSED CARS 2-6 TO DERAIL. UPON FURTHER INVESTIGATION, THE HEAT KINK WAS RULED TO BE THEPRIMARY REASON FOR THE DERAILMENT, BUT POOR TIE CONDITION AND INCONSISTENT ANCHOR PATTERNS DID NOTPROPERLY LOCK THE RAIL AND TRACK IN PLACE. THE INSUFFICENT SECUREMENT OF THE TRACK STRUCTURE ALLOWEDTHE HEAT KINK TO OCCUR ON THIS WARMER DAY.",Main,X,3,3,1,SERASERA202206202203,SERASERA202206202203,Shortline,Class 3,SMT-7 - Commuter West,SERA,SIERRA NORTHERN RAILWAY,Not Assigned,,,,,,,Shortline,Class 3,SMT-7 - Commuter West,SERA,SIERRA NORTHERN RAILWAY,Not Assigned,POINT (-120.542242 37.741484),T109: Track alignment irregular (sun kink / heat),2,POINT (-120.542242 37.741484),2022-03-24,,,,"167628, 167628, 167628, 167628, 167628"
UP,Union Pacific Railroad Company,2012,0612NP030,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=UP0612NP03020120623,12,6,BNSF,BNSF Railway Company,CO0612109,12.0,6.0,UP,Union Pacific Railroad Company,0612NP030,12,6,,23,06/23/2012,3:50 PM,1,Derailment,0,0,0,0,JULESBURG SUB,,,MERINO,75.7,8,CO,COLORADO,121,WASHINGTON,6,95,2,Day,1,Clear,1,Main,SINGLE MAIN TRACK,4,89.0,4.0,West,,,,,0,,29,0,1,Signaled,,Signal Indication,D,Automatic Block Signals System,,,,,,,,,0,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225192,1576622,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,CWR,,40.43149,-103.431446,"THE CATMSLP-038, A WESTBOUND BNSF LOADED COAL TRAIN DERAILED 23 CARS AT MP 75.7 ON THE JULESBURG SUBDUE TO A THERMAL MISALIGNMENT.  UP MAINTAINS TRACK.  BNSF EQUIPMENT DAMAGE = $1,351,430.",Main,4,CL,CL,2,UP0612NP030201206,UP0612NP030201206,,Class 1,SMT-6 - UP/KCS,UP,Union Pacific Railroad Company,Union Pacific Railroad Company,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,,Class 1,SMT-6 - UP/KCS,UP,Union Pacific Railroad Company,Union Pacific Railroad Company,POINT (-103.431446 40.43149),T109: Track alignment irregular (sun kink / heat),2,POINT (-103.431446 40.43149),2012-06-23,,65295,65295,65295
UP,Union Pacific Railroad Company,2012,0812LK010,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=UP0812LK01020120809,12,8,,,,,,UP,Union Pacific Railroad Company,0812LK010,12,8,,9,08/09/2012,4:45 PM,1,Derailment,0,0,0,0,WYNNE SUB,,,JONESBORO,241.44,5,AR,ARKANSAS,31,CRAIGHEAD,5,90,2,Day,1,Clear,1,Main,SINGLE MAINLINE,4,3.2,1.0,North,1.0,Freight Train,Yes,AMNG,40,Estimated,40,3816,1,Signaled,,Signal Indication,Q,Traffic Control System/CTC,,,,,0.0,Not a remotely controlled operation,TTGX,83539.0,65,No,,,0,,,,No,1,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,1,0,0,3722,45179,48901,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,10.0,13.0,10.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,CWR,,35.791696,-90.664493,AMNGFR-09 WITH LEAD UNIT UP4791 WITH TRAVELING ON SINGLE MAINLINE HAD RAILCAR TTGX983539 DERAIL DUETO IRREGULAR TRACK ALIGNMENT DUE TO SUNKINK.,Main,4,CL,CL,1,UP0812LK010201208,UP0812LK010201208,,Class 1,SMT-6 - UP/KCS,UP,Union Pacific Railroad Company,Union Pacific Railroad Company,,,,,,,,Class 1,SMT-6 - UP/KCS,UP,Union Pacific Railroad Company,Union Pacific Railroad Company,POINT (-90.664493 35.791696),T109: Track alignment irregular (sun kink / heat),2,POINT (-90.664493 35.791696),2012-08-09,,,,
ABS,Alabama Southern Railroad,2014,D661214,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=ABSD66121420140616,14,6,,,,,,ABS,Alabama Southern Railroad,D661214,14,6,,16,06/16/2014,2:00 PM,1,Derailment,43,6,0,0,TUSCALOOSA,,,BUHL,60.5,1,AL,ALABAMA,125,TUSCALOOSA,3,91,2,Day,1,Clear,1,Main,SINGLE MAIN TRACK,1,2.78,3.0,East,1.0,Freight Train,Yes,ABSR,10,Estimated,10,8798,2,Not Signaled,,Direct Train Control,,,,,,,0.0,Not a remotely controlled operation,CBTX,71628.0,47,Yes,,,0,,,,No,5,0,0,0,0,0,0,0,0,0,50,0,71,0,0,8,0,0,0,0,754073,256800,1010873,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,5.0,,5.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,OTH,,33.251396,-87.755632,"ON JUNE 16,2014 THE ABSR 112 WAS TRAVELING EASTBOUND INTO TUSCALOOSA. AT APPOXIMATELY 1400 THE ENGINEER NOTIFIED THE TRAINMASTER THAT HE WAS IN EMERGENCY. THE CONDUCTOR DID A WALKING INSPECTION OF HISTRAIN. WHEN HE WALKED BACK TO THE NUMBER 45 CAR, HE SAW THAT 6 OIL CARS AND 1 BOX CAR HAD DERAILEDAND WERE ON THEIR SIDES. HE ALSO NOTICED THAT 1 BOX CAR WAS ON THE GROUND BUT HAD NOT ROLLED OVER. THERE WAS ABOUT 400 FEET OF INITIAL TRACK DAMAGE. UPON DOING AN INVESTIGATION WE FOUND THAT THE ABSR112 HAD A THERMAL MISALIGNMENT UNDER THE TRAIN AT MP 59.4. THE REAR WHEEL ON THE 47TH CAR CBTX 716268 DERAILED AND WAS ON THE GROUND FOR ABOUT 1 MILE. IT WAS DISCOVERED THAT THERE WAS EXTENSIVE DAMAGETO TIES OVER THAT ONE MILE AREA.",Main,1,3,3,1,ABSD661214201406,ABSD661214201406,Shortline,Class 3,SMT-8 - Short Line West,ABS,Alabama Southern Railroad,Watco,,,,,,,Shortline,Class 3,SMT-8 - Short Line West,ABS,Alabama Southern Railroad,Watco,POINT (-87.755632 33.251396),T109: Track alignment irregular (sun kink / heat),2,POINT (-87.755632 33.251396),2014-06-16,,,,
BNSF,BNSF Railway Company,2012,MT0812101,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=BNSFMT081210120120805,12,8,,,,,,BNSF,BNSF Railway Company,MT0812101,12,8,,5,08/05/2012,2:55 PM,1,Derailment,44,17,12,0,HETTINGER,,,PLEVNA,1030.1,30,MT,MONTANA,25,FALLON,8,92,2,Day,1,Clear,1,Main,SINGLE MAIN TRACK,3,11.05,4.0,West,1.0,Freight Train,Yes,MABE,23,Recorded,23,9597,2,Not Signaled,,Direct Train Control,P,Track Warrant Control,,,,,0.0,Not a remotely controlled operation,ACFX,200416.0,22,Yes,,,0,,0.0,0.0,No,2,0,0,0,0,0,0,0,0,0,63,0,43,0,0,18,0,0,0,0,1085110,314975,1400085,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,4.0,50.0,4.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,CWR,,46.414927,-104.539419,"M-ABELAU1-04 OPERATING AT TEMPERATURE RELATED REDUCED SPEED DERAILED 18 CARS. CAUSE DETERMINED TO BETRACK ALIGNMENT IRREGULAR DUE TO TRACK BUCKLE OR SUNKINK. FIRES ENSURED THAT WERE EVENTUALLY EXTINGUISHED. NO EVACUATION OF GENERAL POPULACE. HAZARDOUS RELEASE DETAILS: ACFX200416 ALCOHOLS, N.O.S. 190820 LIQUID POUNDS, GATX200855 ALCOHOLS, N.O.S. 189242 LIQUID POUNDS, NATX300737 ALCOHOLS, N.O.S. 17350 LIQUID POUNDS, NATX303405 ALCOHOLS, N.O.S. 143100 LIQUID POUNDS, TILX197199 ALCOHOLS, N.O.S. 190040 LIQUID POUNDS, UTLX202744 ALCOHOLS, N.O.S. 93800 LIQUID POUNDS, UTLX203411 ALCOHOLS, N.O.S. 87000 LIQUID POUNDS, UTLX204772 ALCOHOLS, N.O.S. 190820 LIQUID POUNDS, UTLX209473 ALCOHOLS, N.O.S. 175000 LIQUID POUNDS, UTLX211732 ALCOHOLS, N.O.S. 99500 LIQUID POUNDS, UTLX211766 ALCOHOLS, N.O.S. 190820LIQUID POUNDS, UTLX211777 ALCOHOLS, N.O.S. 127700 LIQUID POUNDS.",Main,3,1,1,1,BNSFMT0812101201208,BNSFMT0812101201208,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,,,,,,,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,POINT (-104.539419 46.414927),T109: Track alignment irregular (sun kink / heat),2,POINT (-104.539419 46.414927),2012-08-05,,,,
CA,Chesapeake & Albemarle Railroad Company,2014,CAR556614,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CACAR55661420140617,14,6,,,,,,CA,Chesapeake & Albemarle Railroad Company,CAR556614,14,6,,17,06/17/2014,1:04 PM,1,Derailment,0,0,0,0,ELIZABETH CITY,,,HERTFORD,56.4,37,NC,NORTH CAROLINA,143,PERQUIMANS,3,94,2,Day,1,Clear,1,Main,MAIN,1,300000.0,2.0,South,1.0,Freight Train,Yes,CA1,10,Estimated,10,1430,2,Not Signaled,,Direct Train Control,P,Track Warrant Control,,,,,0.0,Not a remotely controlled operation,PLCX,16387.0,13,Yes,,,0,,0.0,0.0,No,2,0,0,0,0,0,0,0,0,0,14,0,1,0,0,2,0,0,0,0,46525,48663,95188,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,9.0,4.0,9.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,OTH,,36.246527,-76.39925,"CREW TRAVELING SOUTH WITH 14 LOADS, 1 MTY. TRAIN PASSED OVER SUN KINK WITH 2 ENGINES, 12 LOADED, 1 MTY. BOTTOM 2 LOADED CARS DERAILED. OPERATING UNDER TRACK WARRANT CONTROL. ORIGINALLY SUBMITTED 7/28/14, AMENDED 2/16/18 FOR ESTIMATES",Main,1,Cl,Cl,1,CACAR556614201406,CACAR556614201406,Shortline,Class 3,SMT-2 - Short Line East,CA,Chesapeake & Albemarle Railroad Company,Genesee & Wyoming,,,,,,,Shortline,Class 3,SMT-2 - Short Line East,CA,Chesapeake & Albemarle Railroad Company,Genesee & Wyoming,POINT (-76.39925 36.246527),T109: Track alignment irregular (sun kink / heat),2,POINT (-76.39925 36.246527),2014-06-17,,,,
BNSF,BNSF Railway Company,2011,PR0811100,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=BNSFPR081110020110801,11,8,,,,,,BNSF,BNSF Railway Company,PR0811100,11,8,,1,08/01/2011,4:05 PM,1,Derailment,0,0,0,0,SAND HILLS,,,LAKESIDE,340,31,NE,NEBRASKA,161,SHERIDAN,6,102,2,Day,1,Clear,1,Main,MAIN TRACK 1,4,111.04,3.0,East,1.0,Freight Train,Yes,CSXM,27,Recorded,27,18602,1,Signaled,,Signal Indication,Q,Traffic Control System/CTC,,,,,0.0,Not a remotely controlled operation,CEFX,67609.0,36,Yes,,,0,,0.0,0.0,No,2,0,0,0,1,0,0,0,0,0,130,0,0,0,0,16,0,0,0,0,398830,100000,498830,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,3.0,4.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,CWR,,42.055376,-102.38529,C-SXMCSW0-20 DERAILED 16 CARS AT POINT OF THERMAL MISALIGNMENT.,Main,4,1,1,1,BNSFPR0811100201108,BNSFPR0811100201108,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,,,,,,,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,POINT (-102.38529 42.055376),T109: Track alignment irregular (sun kink / heat),2,POINT (-102.38529 42.055376),2011-08-01,,,,"53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364, 53364"
BNSF,BNSF Railway Company,2023,MT0623102,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=BNSFMT062310220230612,23,6,,,,,,BNSF,BNSF Railway Company,MT0623102,23,6,,12,06/12/2023,1:45 PM,1,Derailment,0,0,0,0,GLASGOW,,,WILLISTON,124.6,38,ND,NORTH DAKOTA,105,WILLIAMS,8,85,2,Day,1,Clear,1,Main,MAIN 1 TRACK,5,50.4,3.0,East,1.0,Freight Train,Yes,USWE,24,Recorded,24,16203,1,Signaled,,Signal Indication,Q,Traffic Control System/CTC,,,,,0.0,Not a remotely controlled operation,BNSF,651944.0,106,Yes,,,0,,,,No,1,0,0,0,2,0,0,0,0,0,121,0,0,0,0,2,0,0,0,0,11836,91680,103516,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,6.0,45.0,6.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,CWR,000-000-000,48.133564,-103.685858,USWECKB016 ON MAIN 1 TRACK DERAILED 2 RAILCARS DUE TO IRREGULAR TRACK ALIGNMENT FROM THE SUN. NO HAZMAT RELEASE.,Main,5,1,1,1,BNSFMT0623102202306,BNSFMT0623102202306,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,,,,,,,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,POINT (-103.685858 48.133564),T109: Track alignment irregular (sun kink / heat),2,POINT (-103.685858 48.133564),2023-06-12,,,,
BNSF,BNSF Railway Company,2021,TC0821104,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=BNSFTC082110420210808,21,8,,,,,,BNSF,BNSF Railway Company,TC0821104,21,8,,8,08/08/2021,3:39 PM,1,Derailment,0,0,0,0,JAMESTOWN,,,BISMARCK,191.3,38,ND,NORTH DAKOTA,15,BURLEIGH,8,100,2,Day,1,Clear,1,Main,SINGLE MAIN TRACK,4,38.81,3.0,East,1.0,Freight Train,Yes,CNAM,36,Recorded,36,17869,1,Signaled,,Signal Indication,Q,Traffic Control System/CTC,,,,,0.0,Not a remotely controlled operation,NOKL,964584.0,79,Yes,NOKL,964584.0,79,Yes,,,No,2,0,0,0,2,0,0,0,0,0,125,0,0,0,0,24,0,0,0,0,1307842,590051,1897893,T109,Track alignment irregular (buckled/sunkink),E46C,"Truck bolster stiff, improper swiveling",T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,2.0,44.0,2.0,44.0,0,0,0,0,0,0,0,0,0,0,0,0,CWR,000-000-000,46.791713,-100.723731,C-NAMBEN0-32 DERAILED 24 RAILCARS WHILE TRAVERSING SINGLE MAIN TRACK DUE TO TRACK ALIGNMENT IRREGULAR THERMAL MISALIGNMENT WITH RAILCAR TRUCK BOLSTER STIFF IMPROPER SWIVELING AS A CONTRIBUTING CAUSE.NO HAZARDOUS MATERIALS WERE RELEASED.,Main,4,1,1,1,BNSFTC0821104202108,BNSFTC0821104202108,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,,,,,,,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,POINT (-100.723731 46.791713),T109: Track alignment irregular (sun kink / heat),2,POINT (-100.723731 46.791713),2021-08-08,,,,
BNSF,BNSF Railway Company,2018,MT0518104,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=BNSFMT051810420180514,18,5,,,,,,BNSF,BNSF Railway Company,MT0518104,18,5,,14,05/14/2018,11:04 PM,1,Derailment,0,0,0,0,GREAT FALLS,,,LEDGER,87.0,30,MT,MONTANA,73,PONDERA,8,62,4,Dark,1,Clear,1,Main,SINGLE MAIN TRACK,4,11.39,1.0,North,1.0,Freight Train,Yes,GCNO,13,Recorded,13,15582,2,Not Signaled,,Direct Train Control,P,Track Warrant Control,,,,,0.0,Not a remotely controlled operation,BNSF,487014.0,110,Yes,,,0,,,,No,2,0,0,0,1,0,0,0,0,1,109,0,0,0,0,2,0,0,0,0,596698,870000,1466698,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,2.0,4.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,CWR,000-000-000,48.348123,-111.755286,G-CNOVAW9-14 DERAILED 2 RAILCARS AND DP LOCOMOTIVE WHILE TRAVERSING SINGLE MAIN TRACK DUE TO TRACK ALIGNMENT IRREGULAR THERMAL MISALIGNMENT. NO HAZARDOUS MATERIALS WERE RELEASED.,Main,4,1,1,1,BNSFMT0518104201805,BNSFMT0518104201805,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,,,,,,,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,POINT (-111.755286 48.348123),T109: Track alignment irregular (sun kink / heat),2,POINT (-111.755286 48.348123),2018-05-14,,,,
UP,Union Pacific Railroad Company,2018,0718NP011,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=UP0718NP01120180710,18,7,,,,,,UP,Union Pacific Railroad Company,0718NP011,18,7,,10,07/10/2018,4:28 PM,1,Derailment,0,0,0,0,NORTH PLATTE TERMINA,,,NORTH PLATTE,288.89,31,NE,NEBRASKA,111,LINCOLN,6,95,2,Day,1,Clear,2,Yard,YARD 284,2,,4.0,West,1.0,Freight Train,Yes,GSN1,9,Estimated,9,15707,2,Not Signaled,,Other Than Main Track,K,Restricted Speed or Equivalent,,,,,0.0,Not a remotely controlled operation,CMO,21256.0,106,Yes,,,0,,0.0,0.0,No,2,0,0,0,1,0,0,0,0,1,110,0,0,0,0,7,0,0,0,0,144358,243327,387685,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,1.0,28.0,1.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,CWR,000-000-000,41.154972,-100.849929,"WHILE DEPARTING OFF OF TRACK 284 AT THE WEST RUN THRU, THE GSN1TU-08 HAD A THERMAL MISALIGNMENT UNDER THE TRAIN CAUSING THE REAR 7 CARS AND THE DPU TO DERAIL.",Yard,2,CL,CL,1,UP0718NP011201807,UP0718NP011201807,,Class 1,SMT-6 - UP/KCS,UP,Union Pacific Railroad Company,Union Pacific Railroad Company,,,,,,,,Class 1,SMT-6 - UP/KCS,UP,Union Pacific Railroad Company,Union Pacific Railroad Company,POINT (-100.849929 41.154972),T109: Track alignment irregular (sun kink / heat),2,POINT (-100.849929 41.154972),2018-07-10,,,,
