Reporting Railroad Code,Reporting Railroad Name,Year,Accident Number,PDF Link,Accident Year,Accident Month,Other Railroad Code,Other Railroad Name,Other Accident Number,Other Accident Year,Other Accident Month,Maintenance Railroad Code,Maintenance Railroad Name,Maintenance Accident Number,Maintenance Accident Year,Maintenance Accident Month,Grade Crossing ID,Day,Date,Time,Accident Type Code,Accident Type,Hazmat Cars,Hazmat Cars Damaged,Hazmat Released Cars,Persons Evacuated,Subdivision,Division Code,Division,Station,Milepost,State Code,State Abbreviation,State Name,County Code,County Name,District,Temperature,Visibility Code,Visibility,Weather Condition Code,Weather Condition,Track Type Code,Track Type,Track Name,Track Class,Track Density,Train Direction Code,Train Direction,Equipment Type Code,Equipment Type,Equipment Attended,Train Number,Train Speed,Recorded Estimated Speed,Maximum Speed,Gross Tonnage,Signalization Code,Signalization,Method of Operation Code,Method of Operation,Adjunct Code 1,Adjunct Name 1,Adjunct Code 2,Adjunct Name 2,Adjunct Code 3,Adjunct Name 3,Remote Control Locomotive Code,Remote Control Locomotive,First Car Initials,First Car Number,First Car Position,First Car Loaded,Causing Car Initials,Causing Car Number,Causing Car Position,Causing Car Loaded,Positive Alcohol Tests,Positive Drug Tests,Passengers Transported,Head End Locomotives,Mid Train Manual Locomotives,Mid Train Remote Locomotives,Rear End Manual Locomotives,Rear End Remote Locomotives,Derailed Head End Locomotives,Derailed Mid Train Manual Locomotives,Derailed Mid Train Remote Locomotives,Derailed Rear End Manual Locomotives,Derailed Rear End Remote Locomotives,Loaded Freight Cars,Loaded Passenger Cars,Empty Freight Cars,Empty Passenger Cars,Cabooses,Derailed Loaded Freight Cars,Derailed Loaded Passenger Cars,Derailed Empty Freight Cars,Derailed Empty Passenger Cars,Derailed Cabooses,Equipment Damage Cost,Track Damage Cost,Total Damage Cost,Primary Accident Cause Code,Primary Accident Cause,Contributing Accident Cause Code,Contributing Accident Cause,Accident Cause Code,Accident Cause,Engineers On Duty,Firemen On Duty,Conductors On Duty,Brakemen On Duty,Hours Engineers On Duty,Minutes Engineers On Duty,Hours Conductors On Duty,Minutes Conductors On Duty,Railroad Employees Killed,Railroad Employees Injured,Passengers Killed,Passengers Injured,Others Killed,Others Injured,Reporting Railroad Fatalities for 55a,Reporting Railroad Injuries for 55a,Total Persons Killed,Total Persons Injured,Total Killed Form 54,Total Injured Form 54,Special Study 1,Special Study 2,Latitude,Longitude,Narrative,Joint Track Type,Joint Track Class,Class Code,Class,Joint CD,Incident Key,Report Key,Reporting Railroad Company Grouping,Reporting Railroad Class,Reporting Railroad SMT Grouping,Reporting Parent Railroad Code,Reporting Parent Railroad Name,Reporting Railroad Holding Company,Other Railroad Company Grouping,Other Railroad Class,Other Railroad SMT Grouping,Other Parent Railroad Code,Other Parent Railroad Name,Other Railroad Holding Company,Maintenance Railroad Company Grouping,Maintenance Railroad Class,Maintenance Railroad SMT Grouping,Maintenance Parent Railroad Code,Maintenance Parent Railroad Name,Maintenance Railroad Holding Company,Location,Type,geometry,Accident_Date,HUC2,HUC4,HUC6,HUC8,HUC10,HUC12
UP,Union Pacific Railroad Company,2018,0718ST010,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=UP0718ST01020180710,18,7,,,,,,UP,Union Pacific Railroad Company,0718ST010,18,7,,10,07/10/2018,4:30 PM,1,Derailment,0,0,0,0,GILA SUB,,,MARANA,969.25,4,AZ,ARIZONA,19,PIMA,7,75,2,Day,3,Rain,1,Main,MAIN LINE 2,5,39.3,3.0,East,1,Freight Train,Yes,ZLCM,54,Recorded,54,5115,1,Signaled,,Signal Indication,Q,Traffic Control System/CTC,,,,,0,Not a remotely controlled operation,TTAX,355129,16,Yes,,,0,,,,No,4,0,0,0,0,0,0,0,0,0,58,0,0,0,0,14,0,0,0,0,1026351,197220,1223571,M103,Extreme environmental condition - FLOOD,,,M103,Extreme environmental condition - FLOOD,1.0,0.0,1.0,0.0,5.0,40.0,5.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,CWR,000-000-000,32.39057,-111.11779,THE ZLCMQ2-10 WITH LEAD UNIT UP8056 WAS HEADED EASTBOUND ON MAIN TRACK #2 AT MILEPOST 969.25 WHEN THEY TRAVERSED OVER WATER/FLOODING OVER THE RAIL.  TRACK WAS WASHED OUT RESULTING IN 14 CARS DERAILED.,Main,5,CL,CL,1,UP0718ST010201807,UP0718ST010201807,,Class 1,SMT-6 - UP/KCS,UP,Union Pacific Railroad Company,Union Pacific Railroad Company,,,,,,,,Class 1,SMT-6 - UP/KCS,UP,Union Pacific Railroad Company,Union Pacific Railroad Company,POINT (-111.11779 32.39057),1,POINT (-111.11779 32.39057),2018-07-10,"129049, 127666, 126413, 129115, 129115","126413, 129115, 129115","126413, 129115, 129115",,,
CSX,CSX Transportation,2014,000133453,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00013345320140812,14,8,,,,,,CSX,CSX Transportation,000133453,14,8,,12,08/12/2014,4:00 PM,13,Other (describe in narrative),0,0,0,0,BALTIMORE TERMINAL,,,BALTIMORE,0008.0,24,MD,MARYLAND,510,BALTIMORE CITY,2,70,2,Day,3,Rain,2,Yard,E07,1,0.0,3.0,East,6,Cut of cars,No,,0,Estimated,0,0,2,Not Signaled,,Other Than Main Track,,,,,,,0,Not a remotely controlled operation,CSXT,302303,1,No,,,0,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,2380800,M103,Extreme environmental condition - FLOOD,,,M103,Extreme environmental condition - FLOOD,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,OTH,,39.260337,-76.650654,CARS AT THE CURTIS BAY COAL PIER WERE FLOODED DURING HEAVY RAIN. THE WATER WENT ABOVE THE BEARINGS ON THE WHEELS OF ON-TRACK EQUIPMENT AND THE WHEELS WERE CHANGED OUT PER AAR RULES. NO DERAILMENT ANDNOT TRACK DAMAGE.,Yard,1,1,1,3,CSX000133453201408,CSX000133453201408,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (-76.650654 39.260337),1,POINT (-76.650654 39.260337),2014-08-12,"89712, 89712, 89712, 89712, 89712, 89712, 89712, 89713, 87306, 87306, 87306, 89712, 89712, 89712, 89712, 89712, 89712, 87306, 87305, 87305, 89712, 89712, 89712, 89712, 89712, 87305, 87305, 89712, 89712, 89712, 87305, 89712, 89712, 89712, 89712, 87305, 87305, 87304, 87306, 89650, 87306, 89712, 89712, 89714, 89714, 89714, 89714, 87304, 89712, 89712, 89712, 89712, 89714","89712, 89712, 89712, 89712, 89712, 87306, 87306, 87306, 89712, 89712, 87306, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 87306, 87306, 89712, 89712","89712, 89712, 89712, 89712, 89712, 87306, 87306, 87306, 89712, 89712, 87306, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 87306, 87306, 89712, 89712","89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712","89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712",89712
MNBR,M & B RAILROAD LLC,2020,MNB557920,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=MNBRMNB55792020200220,20,2,,,,,,MNBR,M & B RAILROAD LLC,MNB557920,20,2,,20,02/20/2020,10:40 AM,1,Derailment,0,0,0,0,SYSTEM,,,PENNINGTON,47,1,AL,ALABAMA,23,CHOCTAW,3,50,2,Day,3,Rain,1,Main,SINGLE MAIN,1,10.58,3.0,East,1,Freight Train,Yes,Y101,10,Recorded,10,2700,2,Not Signaled,,Yard/Restricted Limits,L,Special Instructions,,,,,0,Not a remotely controlled operation,GPSX,4248,14,Yes,,,0,,,,No,3,0,0,0,0,0,0,0,0,0,23,0,7,0,0,4,0,0,0,0,16777,18740,35517,M103,Extreme environmental condition - FLOOD,,,M103,Extreme environmental condition - FLOOD,1.0,,1.0,1.0,1.0,40.0,1.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,OTH,000-000-000,32.237799,-88.01378,"WHILE PULLING FROM NAHEOLA TO MYRTLEWOOD, FOUR (4) LOADED CHIP CARS DERAILED CAUSING ONE OF THEM TOOVERTURN.
6-14-21 REVISED BLOCKS 36 AND 37
6-14-21 REVISED BLOCKS 31(2) A, B, C",Main,1,Cl,Cl,1,MNBRMNB557920202002,MNBRMNB557920202002,Shortline,Class 3,SMT-2 - Short Line East,MNBR,M & B RAILROAD LLC,Genesee & Wyoming,,,,,,,Shortline,Class 3,SMT-2 - Short Line East,MNBR,M & B RAILROAD LLC,Genesee & Wyoming,POINT (-88.01378 32.237799),1,POINT (-88.01378 32.237799),2020-02-20,"144799, 146295, 146295, 146295, 144803","146295, 146295","146295, 146295",146295,146295,
CSX,CSX Transportation,2020,000193176,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00019317620201011,20,10,,,,,,CSX,CSX Transportation,000193176,20,10,,11,10/11/2020,1:30 AM,1,Derailment,0,0,0,0,ABBEVILLE,,,LILBURN,0555.1,13,GA,GEORGIA,135,GWINNETT,3,65,4,Dark,3,Rain,1,Main,SINGLE MAIN TRACK,4,19.3,1.0,North,1,Freight Train,Yes,Q583,39,Recorded,39,15736,1,Signaled,,Signal Indication,,,,,,,0,Not a remotely controlled operation,CSXT,3438,1,No,,,0,,,,No,3,0,0,0,0,1,0,0,0,0,128,0,45,0,0,17,0,15,0,0,2526210,191918,2718128,M103,Extreme environmental condition - FLOOD,,,M103,Extreme environmental condition - FLOOD,1.0,0.0,1.0,0.0,4.0,,4.0,,0,2,0,0,0,0,0,2,0,2,0,2,CWR,000-000-000,33.884821,-84.134123,WASHOUT AT SG 555.06 CAUSING CARS AND LOCOMOTIVES TO DERAIL ON Q58309.,Main,4,1,1,1,CSX000193176202010,CSX000193176202010,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (-84.134123 33.884821),1,POINT (-84.134123 33.884821),2020-10-11,"152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 152628, 153812, 153812","152628, 152628, 152628, 152628, 152628, 152628","152628, 152628, 152628, 152628, 152628, 152628","152628, 152628","152628, 152628",
CIC,Cedar Rapids & Iowa City Railway Company,2014,D201499,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CICD20149920140630,14,6,,,,,,CIC,Cedar Rapids & Iowa City Railway Company,D201499,14,6,,30,06/30/2014,8:00 AM,13,Other (describe in narrative),21,21,0,0,SYSTEM,,,CEDAR RAPIDS,4.5,19,IA,IOWA,113,LINN,6,72,2,Day,3,Rain,2,Yard,901,2,,1.0,North,6,Cut of cars,No,,0,Recorded,0,0,2,Not Signaled,,Other Than Main Track,K,Restricted Speed or Equivalent,,,,,0,Not a remotely controlled operation,ADMX,29236,1,Yes,,,0,,,,No,0,0,0,0,0,0,0,0,0,0,62,0,25,0,0,0,0,0,0,0,235848,36732,272580,M103,Extreme environmental condition - FLOOD,,,M103,Extreme environmental condition - FLOOD,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,OTH,,41.927261,-91.716554,"DUE TO FLASH FLOODING A CUT OF CARS IN OUR SMITH-DOWS YARD WAS SUBMERGED OVER THE AXELS OF 62 CARS.CARS WERE REPAIRED IN PLACE.  WAS NOT AWARE THAT THIS WAS A REPORTABLE EVENT UNTIL TALKING TO FRA IN KANSAS CITY.  THE YARD IS LOCATED ON THE WEST SIDE OF EDGEWOOD ROAD SW, CEDAR RAPIDS, IA.",Yard,2,3,3,1,CICD201499201406,CICD201499201406,Shortline,Class 3,SMT-8 - Short Line West,CIC,Cedar Rapids & Iowa City Railway Company,Not Assigned,,,,,,,Shortline,Class 3,SMT-8 - Short Line West,CIC,Cedar Rapids & Iowa City Railway Company,Not Assigned,POINT (-91.716554 41.927261),1,POINT (-91.716554 41.927261),2014-06-30,"87265, 87265, 87375, 87375, 85456, 85456, 85456, 85456, 85455, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 87265, 85455, 85455, 85455, 86394, 85455, 86395, 86395, 86395, 86395, 86395, 86395, 86395, 86395, 86395, 87952, 87952, 87952, 87952, 86993, 87000, 86993, 86881, 86881, 87375, 87375, 86996, 86397, 86996, 86397, 86398, 86398, 86996, 86996, 86998, 87000, 86397, 86397, 86398, 87265, 87673, 87673","85456, 85456, 85455, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 85455, 85455, 85455, 86394, 85455, 86996, 86397, 86996, 86397, 86398, 86398, 86996, 86996, 86397, 86397, 86398","85456, 85456, 85455, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 86394, 85455, 85455, 85455, 86394, 85455, 86996, 86996, 86996, 86397","85456, 86394, 85455, 85455, 85455, 86394, 85455","85456, 86394, 85455, 85455, 85455, 86394, 85455",
PSBX,PORT OF SHREVEPORT-BOSSIER,2015,15060501,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=PSBX1506050120150605,15,6,,,,,,PSBX,PORT OF SHREVEPORT-BOSSIER,15060501,15,6,,5,06/05/2015,7:00 AM,13,Other (describe in narrative),0,0,0,0,SYSTEM,,,SHREVEPORT,,22,LA,LOUISIANA,17,CADDO,5,90,1,Dawn,1,Clear,4,Industry,758,1,,1.0,North,6,Cut of cars,No,,0,Estimated,0,0,2,Not Signaled,,Other Than Main Track,,,,,,,0,Not a remotely controlled operation,NAHX,500288,1,Yes,,,0,,0.0,0.0,No,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,29989,0,364389,M103,Extreme environmental condition - FLOOD,,,M103,Extreme environmental condition - FLOOD,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,OTH,,32.360609,-93.628973,MULTIPLE RAILCARS WERE SUBMERGED UNDER WATER DUE TO RED RIVER FLOODING,Industry,1,Cl,Cl,3,PSBX15060501201506,PSBX15060501201506,Switching and Terminal,Class 3,SMT-2 - Short Line East,PSBX,PORT OF SHREVEPORT-BOSSIER,Not Assigned,,,,,,,Switching and Terminal,Class 3,SMT-2 - Short Line East,PSBX,PORT OF SHREVEPORT-BOSSIER,Not Assigned,POINT (-93.628973 32.360609),1,POINT (-93.628973 32.360609),2015-06-05,"98304, 97819, 97160, 97915, 97915, 97915, 97915, 97915, 97147, 96152, 96111, 96152, 96152, 96082, 96111, 96111, 96152, 96079, 96082, 96111, 96152, 96152","97160, 96152, 96111, 96152, 96152, 96082, 96111, 96111, 96152, 96079, 96082, 96111, 96152, 96152","96111, 96152, 96152, 96111, 96152, 96152",,,
CSX,CSX Transportation,2014,000133453,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00013345320140812,14,8,,,,,,CSX,CSX Transportation,000133453,14,8,,12,08/12/2014,4:00 PM,13,Other (describe in narrative),0,0,0,0,BALTIMORE TERMINAL,,,BALTIMORE,0008.0,24,MD,MARYLAND,510,BALTIMORE CITY,2,70,2,Day,3,Rain,2,Yard,E08,1,0.0,3.0,East,6,Cut of cars,No,,0,Estimated,0,0,2,Not Signaled,,Other Than Main Track,,,,,,,0,Not a remotely controlled operation,CSXT,300508,1,No,,,0,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,2380800,M103,Extreme environmental condition - FLOOD,,,M103,Extreme environmental condition - FLOOD,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,OTH,,39.260337,-76.650654,CARS AT THE CURTIS BAY COAL PIER WERE FLOODED DURING HEAVY RAIN. THE WATER WENT ABOVE THE BEARINGS ON THE WHEELS OF ON-TRACK EQUIPMENT AND THE WHEELS WERE CHANGED OUT PER AAR RULES. NO DERAILMENT ANDNOT TRACK DAMAGE.,Yard,1,1,1,3,CSX000133453201408,CSX000133453201408,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (-76.650654 39.260337),1,POINT (-76.650654 39.260337),2014-08-12,"89712, 89712, 89712, 89712, 89712, 89712, 89712, 89713, 87306, 87306, 87306, 89712, 89712, 89712, 89712, 89712, 89712, 87306, 87305, 87305, 89712, 89712, 89712, 89712, 89712, 87305, 87305, 89712, 89712, 89712, 87305, 89712, 89712, 89712, 89712, 87305, 87305, 87304, 87306, 89650, 87306, 89712, 89712, 89714, 89714, 89714, 89714, 87304, 89712, 89712, 89712, 89712, 89714","89712, 89712, 89712, 89712, 89712, 87306, 87306, 87306, 89712, 89712, 87306, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 87306, 87306, 89712, 89712","89712, 89712, 89712, 89712, 89712, 87306, 87306, 87306, 89712, 89712, 87306, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 87306, 87306, 89712, 89712","89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712","89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712",89712
CSX,CSX Transportation,2014,000133453,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00013345320140812,14,8,,,,,,CSX,CSX Transportation,000133453,14,8,,12,08/12/2014,4:00 PM,13,Other (describe in narrative),0,0,0,0,BALTIMORE TERMINAL,,,BALTIMORE,0008.0,24,MD,MARYLAND,510,BALTIMORE CITY,2,70,2,Day,3,Rain,2,Yard,E05,1,0.0,3.0,East,6,Cut of cars,No,,0,Estimated,0,0,2,Not Signaled,,Other Than Main Track,,,,,,,0,Not a remotely controlled operation,CSXT,302532,1,No,,,0,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,2380800,M103,Extreme environmental condition - FLOOD,,,M103,Extreme environmental condition - FLOOD,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,OTH,,39.260337,-76.650654,CARS AT THE CURTIS BAY COAL PIER WERE FLOODED DURING HEAVY RAIN. THE WATER WENT ABOVE THE BEARINGS ON THE WHEELS OF ON-TRACK EQUIPMENT AND THE WHEELS WERE CHANGED OUT PER AAR RULES. NO DERAILMENT ANDNOT TRACK DAMAGE.,Yard,1,1,1,3,CSX000133453201408,CSX000133453201408,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (-76.650654 39.260337),1,POINT (-76.650654 39.260337),2014-08-12,"89712, 89712, 89712, 89712, 89712, 89712, 89712, 89713, 87306, 87306, 87306, 89712, 89712, 89712, 89712, 89712, 89712, 87306, 87305, 87305, 89712, 89712, 89712, 89712, 89712, 87305, 87305, 89712, 89712, 89712, 87305, 89712, 89712, 89712, 89712, 87305, 87305, 87304, 87306, 89650, 87306, 89712, 89712, 89714, 89714, 89714, 89714, 87304, 89712, 89712, 89712, 89712, 89714","89712, 89712, 89712, 89712, 89712, 87306, 87306, 87306, 89712, 89712, 87306, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 87306, 87306, 89712, 89712","89712, 89712, 89712, 89712, 89712, 87306, 87306, 87306, 89712, 89712, 87306, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 87306, 87306, 89712, 89712","89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712","89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712, 89712",89712
CSX,CSX Transportation,2020,000188437,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00018843720200213,20,2,,,,,,CSX,CSX Transportation,000188437,20,2,,13,02/13/2020,6:54 AM,1,Derailment,96,4,2,15,KINGSPORT,,,ELKHORN CITY,0123.5,21,KY,KENTUCKY,195,PIKE,3,57,1,Dawn,3,Rain,1,Main,SINGLE MAIN,2,7.2,2.0,South,1,Freight Train,Yes,K429,24,Recorded,24,13172,1,Signaled,,Signal Indication,,,,,,,0,Not a remotely controlled operation,CSXT,168,1,No,,,0,,0.0,0.0,No,3,0,0,0,0,3,0,0,0,0,98,0,0,0,0,5,0,0,0,0,2232901,58530,2291431,M103,Extreme environmental condition - FLOOD,,,M103,Extreme environmental condition - FLOOD,1.0,0.0,1.0,0.0,6.0,4.0,6.0,4.0,0,2,0,0,0,0,0,2,0,2,0,2,CWR,000-000-000,37.338256,-82.396022,"K42911 DERAILED ON MAINLINE AFTER STRIKING A MUD SLIDE ON THE KINGSPORT SUBDIVISION.  THE MUDSLIDE ORIGINATED ON THE ADJACENT PROPERTY NORTH OF THE MAILNLINE AND OVER RAN THE MAIN LINE WHEN THE TRAINENCOUNTERED IT DURING RAIN AND FOG. THIS RESULTED IN DERAILING THE 3 LOCOMOTIVES AND LINES 1-5 OF THE TRAIN CONSIST.  THE LOCOMOTIVES CAME TO REST ON THE EMBANKMENT OF THE BIG SANDY RIVER.  TWO CARS RELEASED ALCOHOL NOS, STTC #4909152; CAR TILX 194769 RELEASED 28,800 GALLONS AND CAR TILX 192469 RELEASED 9680 GALLONS.",Main,2,1,1,1,CSX000188437202002,CSX000188437202002,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (-82.396022 37.338256),1,POINT (-82.396022 37.338256),2020-02-13,"146065, 146245, 146245, 146245, 146245, 144774, 144774, 144774, 144774, 144812, 144812, 145321, 145321, 144812, 145321, 145321, 144781, 144781, 144781, 145321, 144781, 144781, 144781, 144781, 144781, 144781, 144781, 144781, 144812, 145322, 145322, 145324, 144600, 145324, 145324, 144600, 145324, 145324, 144815, 144815, 144815, 144815, 144600, 145324, 145326, 145326, 145327, 145327, 145327, 145327, 145327, 145327, 144812, 144812","144774, 144812",144774,,,
PSBX,PORT OF SHREVEPORT-BOSSIER,2015,15060501,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=PSBX1506050120150605,15,6,,,,,,PSBX,PORT OF SHREVEPORT-BOSSIER,15060501,15,6,,5,06/05/2015,7:00 AM,13,Other (describe in narrative),0,0,0,0,SYSTEM,,,SHREVEPORT,,22,LA,LOUISIANA,17,CADDO,5,90,1,Dawn,1,Clear,4,Industry,759,1,,1.0,North,6,Cut of cars,No,,0,Estimated,0,0,2,Not Signaled,,Other Than Main Track,,,,,,,0,Not a remotely controlled operation,AOKX,497128,1,Yes,,,0,,0.0,0.0,No,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,74401,0,364389,M103,Extreme environmental condition - FLOOD,,,M103,Extreme environmental condition - FLOOD,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,OTH,,32.360609,-93.628973,MULTIPLE RAILCARS WERE SUBMERGED UNDER WATER DUE TO RED RIVER FLOODING,Industry,1,Cl,Cl,1,PSBX15060501201506,PSBX15060501201506,Switching and Terminal,Class 3,SMT-2 - Short Line East,PSBX,PORT OF SHREVEPORT-BOSSIER,Not Assigned,,,,,,,Switching and Terminal,Class 3,SMT-2 - Short Line East,PSBX,PORT OF SHREVEPORT-BOSSIER,Not Assigned,POINT (-93.628973 32.360609),1,POINT (-93.628973 32.360609),2015-06-05,"98304, 97819, 97160, 97915, 97915, 97915, 97915, 97915, 97147, 96152, 96111, 96152, 96152, 96082, 96111, 96111, 96152, 96079, 96082, 96111, 96152, 96152","97160, 96152, 96111, 96152, 96152, 96082, 96111, 96111, 96152, 96079, 96082, 96111, 96152, 96152","96111, 96152, 96152, 96111, 96152, 96152",,,
PSBX,PORT OF SHREVEPORT-BOSSIER,2015,15060501,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=PSBX1506050120150605,15,6,,,,,,PSBX,PORT OF SHREVEPORT-BOSSIER,15060501,15,6,,5,06/05/2015,7:00 AM,13,Other (describe in narrative),0,0,0,0,SYSTEM,,,SHREVEPORT,,22,LA,LOUISIANA,17,CADDO,5,90,1,Dawn,1,Clear,4,Industry,743,1,,1.0,North,6,Cut of cars,No,,0,Estimated,0,0,2,Not Signaled,,Other Than Main Track,,,,,,,0,Not a remotely controlled operation,UTLX,665550,1,Yes,,,0,,0.0,0.0,No,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,124697,0,364389,M103,Extreme environmental condition - FLOOD,,,M103,Extreme environmental condition - FLOOD,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,OTH,,32.360609,-93.628973,MULTIPLE RAILCARS WERE SUBMERGED UNDER WATER DUE TO RED RIVER FLOODING,Industry,1,Cl,Cl,3,PSBX15060501201506,PSBX15060501201506,Switching and Terminal,Class 3,SMT-2 - Short Line East,PSBX,PORT OF SHREVEPORT-BOSSIER,Not Assigned,,,,,,,Switching and Terminal,Class 3,SMT-2 - Short Line East,PSBX,PORT OF SHREVEPORT-BOSSIER,Not Assigned,POINT (-93.628973 32.360609),1,POINT (-93.628973 32.360609),2015-06-05,"98304, 97819, 97160, 97915, 97915, 97915, 97915, 97915, 97147, 96152, 96111, 96152, 96152, 96082, 96111, 96111, 96152, 96079, 96082, 96111, 96152, 96152","97160, 96152, 96111, 96152, 96152, 96082, 96111, 96111, 96152, 96079, 96082, 96111, 96152, 96152","96111, 96152, 96152, 96111, 96152, 96152",,,
